time,heart_rate
2019-10-25 16:39:18+00:00,59.0
2019-10-25 16:39:19+00:00,58.0
2019-10-25 16:39:20+00:00,57.0
2019-10-25 16:39:21+00:00,57.0
2019-10-25 16:39:22+00:00,57.0
2019-10-25 16:39:23+00:00,57.0
2019-10-25 16:39:24+00:00,58.0
2019-10-25 16:39:25+00:00,58.0
2019-10-25 16:39:26+00:00,58.0
2019-10-25 16:39:27+00:00,58.0
2019-10-25 16:39:28+00:00,57.0
2019-10-25 16:39:29+00:00,57.0
2019-10-25 16:39:30+00:00,57.0
2019-10-25 16:39:31+00:00,57.0
2019-10-25 16:39:32+00:00,57.0
2019-10-25 16:39:33+00:00,57.0
2019-10-25 16:39:34+00:00,57.0
2019-10-25 16:39:35+00:00,57.0
2019-10-25 16:39:36+00:00,57.0
2019-10-25 16:39:37+00:00,57.0
2019-10-25 16:39:38+00:00,57.0
2019-10-25 16:39:39+00:00,58.0
2019-10-25 16:39:40+00:00,58.0
2019-10-25 16:39:41+00:00,58.0
2019-10-25 16:39:42+00:00,59.0
2019-10-25 16:39:43+00:00,59.0
2019-10-25 16:39:44+00:00,60.0
2019-10-25 16:39:45+00:00,61.0
2019-10-25 16:39:46+00:00,63.0
2019-10-25 16:39:47+00:00,64.0
2019-10-25 16:39:48+00:00,66.0
2019-10-25 16:39:49+00:00,66.0
2019-10-25 16:39:50+00:00,66.0
2019-10-25 16:39:51+00:00,65.0
2019-10-25 16:39:52+00:00,64.0
2019-10-25 16:39:53+00:00,63.0
2019-10-25 16:39:54+00:00,63.0
2019-10-25 16:39:55+00:00,65.0
2019-10-25 16:39:56+00:00,66.0
2019-10-25 16:39:57+00:00,67.0
2019-10-25 16:39:58+00:00,69.0
2019-10-25 16:39:59+00:00,68.0
2019-10-25 16:40:00+00:00,67.0
2019-10-25 16:40:01+00:00,66.0
2019-10-25 16:40:02+00:00,65.0
2019-10-25 16:40:03+00:00,64.0
2019-10-25 16:40:04+00:00,63.0
2019-10-25 16:40:05+00:00,63.0
2019-10-25 16:40:06+00:00,63.0
2019-10-25 16:40:07+00:00,63.0
2019-10-25 16:40:08+00:00,63.0
2019-10-25 16:40:09+00:00,63.0
2019-10-25 16:40:10+00:00,63.0
2019-10-25 16:40:11+00:00,64.0
2019-10-25 16:40:12+00:00,64.0
2019-10-25 16:40:13+00:00,64.0
2019-10-25 16:40:14+00:00,65.0
2019-10-25 16:40:15+00:00,66.0
2019-10-25 16:40:16+00:00,67.0
2019-10-25 16:40:17+00:00,67.0
2019-10-25 16:40:18+00:00,67.0
2019-10-25 16:40:19+00:00,68.0
2019-10-25 16:40:20+00:00,69.0
2019-10-25 16:40:21+00:00,69.0
2019-10-25 16:40:22+00:00,70.0
2019-10-25 16:40:23+00:00,70.0
2019-10-25 16:40:24+00:00,71.0
2019-10-25 16:40:25+00:00,71.0
2019-10-25 16:40:26+00:00,71.0
2019-10-25 16:40:27+00:00,71.0
2019-10-25 16:40:28+00:00,71.0
2019-10-25 16:40:29+00:00,70.0
2019-10-25 16:40:30+00:00,70.0
2019-10-25 16:40:31+00:00,69.0
2019-10-25 16:40:32+00:00,68.0
2019-10-25 16:40:33+00:00,67.0
2019-10-25 16:40:34+00:00,66.0
2019-10-25 16:40:35+00:00,64.0
2019-10-25 16:40:36+00:00,63.0
2019-10-25 16:40:37+00:00,63.0
2019-10-25 16:40:38+00:00,62.0
2019-10-25 16:40:39+00:00,62.0
2019-10-25 16:40:40+00:00,62.0
2019-10-25 16:40:41+00:00,62.0
2019-10-25 16:40:42+00:00,62.0
